Match Number,Weekday,Date,Day,Month,Year,Local Time,Opponent,Opponent State/Country,Competition,Round,Venue,Location,Address,Latitude,Longitude,Home or Away,Attendance,Match Result,Score - WSW-Opp,Notes,"Club Achievements, Milestones and Records"
11,Saturday,6 October 2012,6,October,2012,19:45,Central Coast Mariners,NSW,A-League Season 2012/13,1,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,10458,Draw,0 - 0,,"First A-League Season match and home match, against the defending A-League Premiers. First competitive match, competitive draw and competition points. First match wearing the red and black hooped home jersey. Club enters A-League Season 8."
12,Friday,12 October 2012,12,October,2012,19:00,Adelaide United,SA,A-League Season 2012/13,2,Hindmarsh Stadium,"Adelaide, SA, Australia","Hindmarsh Stadium, Adelaide, SA, Australia",-34.907397,138.568919,Away,8950,Loss,0 - 1,,First A-League away match. First A-League Season loss. First competitive loss. First competitive goal conceded. First match wearing the red and white hooped away jersey.
13,Saturday,20 October 2012,20,October,2012,19:45,Sydney FC,NSW,A-League Season 2012/13,3,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,19126,Loss,0 - 1,,First Sydney Derby. First Sydney Derby loss. First sold-out home match.
14,Saturday,27 October 2012,27,October,2012,18:45,Brisbane Roar,QLD,A-League Season 2012/13,4,Lang Park,"Brisbane, QLD, Australia","Lang Park, Brisbane, QLD, Australia",-27.464671,153.009539,Away,12663,Win,1 - 0,,"First A-League Season win, against the defending A-League Champions. First competitive goal. First competitive win. First A-League Season away win."
15,Friday,2 November 2012,2,November,2012,19:30,Melbourne Heart,VIC,A-League Season 2012/13,5,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,8075,Win,2 - 1,,First A-League Season home win.
16,Tuesday,6 November 2012,6,November,2012,14:00,Sydney FC,NSW,Friendly,Mid-season,"Winter Field, Macquarie University","Macquarie Park, NSW,Australia","Winter Field, Macquarie University, Macquarie Park, NSW,Australia",-33.76439936447449,151.1174258859175,Away,,Loss,0 - 1,Held behind closed doors.,
17,Saturday,10 November 2012,10,November,2012,17:30,Newcastle Jets,NSW,A-League Season 2012/13,6,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,9011,Loss,1 - 2,,
18,Sunday,18 November 2012,18,November,2012,14:00,Perth Glory,WA,A-League Season 2012/13,7,Perth Oval,"Perth, WA, Australia","Perth Oval, Perth, WA, Australia",-31.94570032382918,115.8699480008372,Away,9060,Win,1 - 0,,
19,Saturday,24 November 2012,24,November,2012,19:45,Melbourne Victory,VIC,A-League Season 2012/13,8,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,9614,Loss,0 - 2,,
20,Sunday,2 December 2012,2,December,2012,16:30,Wellington Phoenix,NZ,A-League Season 2012/13,9,Wellington Regional Stadium,"Wellington, New Zealand","Wellington Regional Stadium, Wellington, New Zealand",-41.273072,174.786006,Away,5045,Loss,0 - 1,,
21,Sunday,9 December 2012,9,December,2012,17:00,Brisbane Roar,QLD,A-League Season 2012/13,10,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,6755,Win,1 - 0,,
22,Saturday,15 December 2012,15,December,2012,19:45,Sydney FC,NSW,A-League Season 2012/13,11,Sydney Football Stadium,"Moore Park, NSW, Australia","Sydney Football Stadium, Moore Park, NSW, Australia",-33.889164,151.225455,Away,26176,Win,2 - 0,,First Sydney Derby win. First Sydney Derby away win.
23,Friday,21 December 2012,21,December,2012,19:00,Adelaide United,SA,A-League Season 2012/13,12,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,9056,Win,6 - 1,,First win by margin of 5 goals in a competitive game.
24,Thursday,27 December 2012,27,December,2012,18:45,Perth Glory,WA,A-League Season 2012/13,13,Subiaco Oval,"Perth, WA, Australia","Subiaco Oval, Perth, WA, Australia",-31.94449997318403,115.8300889875841,Away,9236,Draw,1 - 1,,
25,Tuesday,1 January 2013,1,January,2013,18:15,Melbourne Victory,VIC,A-League Season 2012/13,14,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,13659,Win,2 - 1,,First win and first home win against Melbourne Victory.
26,Sunday,6 January 2013,6,January,2013,18:00,Central Coast Mariners,NSW,A-League Season 2012/13,15,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,16387,Loss,0 - 2,,
27,Sunday,13 January 2013,13,January,2013,16:30,Wellington Phoenix,NZ,A-League Season 2012/13,16,Wellington Regional Stadium,"Wellington, New Zealand","Wellington Regional Stadium, Wellington, New Zealand",-41.273072,174.786006,Away,6608,Win,2 - 0,,
28,Sunday,20 January 2013,20,January,2013,17:00,Brisbane Roar,QLD,A-League Season 2012/13,17,Lang Park,"Brisbane, QLD, Australia","Lang Park, Brisbane, QLD, Australia",-27.464671,153.009539,Away,11917,Win,2 - 1,,
29,Saturday,26 January 2013,26,January,2013,19:45,Melbourne Heart,VIC,A-League Season 2012/13,18,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,14624,Win,1 - 0,,
30,Sunday,3 February 2013,3,February,2013,16:30,Adelaide United,SA,A-League Season 2012/13,19,Hindmarsh Stadium,"Adelaide, SA, Australia","Hindmarsh Stadium, Adelaide, SA, Australia",-34.907397,138.568919,Away,9686,Win,4 - 2,,
31,Saturday,9 February 2013,9,February,2013,19:45,Newcastle Jets,NSW,A-League Season 2012/13,20,Campbelltown Stadium,"Campbelltown, NSW,Australia","Campbelltown Stadium, Campbelltown, NSW,Australia",-34.05037201711929,150.8337295806845,Home,10589,Win,2 - 1,Community round. Neutral venue.,
32,Saturday,16 February 2013,16,February,2013,19:45,Melbourne Victory,VIC,A-League Season 2012/13,21,Melbourne Rectangular Stadium,"Melbourne, VIC, Australia","Melbourne Rectangular Stadium, Melbourne, VIC, Australia",-37.825067,144.983964,Away,21638,Win,2 - 1,,First away win against Melbourne Victory.
33,Saturday,23 February 2013,23,February,2013,17:30,Perth Glory,WA,A-League Season 2012/13,22,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,11772,Win,1 - 0,,
34,Saturday,2 March 2013,2,March,2013,19:45,Central Coast Mariners,NSW,A-League Season 2012/13,23,Central Coast Stadium,"Gosford, NSW, Australia","Central Coast Stadium, Gosford, NSW, Australia",-33.42828895713087,151.3381398470787,Away,18721,Win,1 - 0,,The match win sees the club leapfrog Central Coast Mariners to reach 1st place on A-League Season ladder. The club beats every A-League opponent in its inaugural A-League Season.
35,Sunday,10 March 2013,10,March,2013,17:00,Wellington Phoenix,NZ,A-League Season 2012/13,24,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,15809,Win,2 - 1,,
36,Saturday,16 March 2013,16,March,2013,17:30,Melbourne Heart,VIC,A-League Season 2012/13,25,Melbourne Rectangular Stadium,"Melbourne, VIC, Australia","Melbourne Rectangular Stadium, Melbourne, VIC, Australia",-37.825067,144.983964,Away,6101,Win,3 - 2,,Club achieves an Australian record 10 league wins in a row.
37,Saturday,23 March 2013,23,March,2013,19:45,Sydney FC,NSW,A-League Season 2012/13,26,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,19585,Draw,1 - 1,,First Sydney Derby draw. Record A-League Western Sydney Wanderers home match attendance at Parramatta Stadium.
38,Friday,29 March 2013,29,March,2013,17:30,Newcastle Jets,NSW,A-League Season 2012/13,27,Newcastle International Sports Centre,"Newcastle, NSW, Australia","Newcastle International Sports Centre, Newcastle, NSW, Australia",-32.91879820046429,151.7264173707682,Away,22518,Win,3 - 0,,Club crowned A-League Premiers 2012-13 (1st place on A-League Season ladder) in its inaugural season and claims its first silverware. Club secures AFC Champions League 2014 qualification and qualifies for A-League Finals.
39,Friday,12 April 2013,12,April,2013,19:30,Brisbane Roar,QLD,A-League Finals 2012/13,Semi Final,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,19369,Win,2 - 0,,First A-League Finals match. First A-League Finals win. Club progresses to Grand Final. First A-League Finals goal. First match at home as A-League Premiers. Club beats the defending A-League Champions 4 times in its inaugural A-League Season.
40,Sunday,21 April 2013,21,April,2013,16:00,Central Coast Mariners,NSW,A-League Finals 2012/13,Grand Final,Sydney Football Stadium,"Moore Park, NSW, Australia","Sydney Football Stadium, Moore Park, NSW, Australia",-33.889164,151.225455,Home,42102,Loss,0 - 2,Venue changed by FFA.,"First A-League Grand Final, in the club's inaugural season. A-League Champions runners-up. First A-League Finals loss. Record attendance for a Western Sydney Wanderers home match. Record Australian club football crowd at venue."
